"recorded_timestamp";"lon";"lat";"altitude";"speed";"orientation"
"2025-03-05 11:39:49.717";"22.9195716666667";"40.640595";"4.6";"44";"105"
"2025-03-05 11:39:49.807";"22.9531183333333";"40.6452566666667";"11.6";"36";"334"
"2025-03-05 11:39:49.813";"22.9509866666667";"40.6018283333333";"5.5";"0";"257"
"2025-03-05 11:39:49.913";"22.9938466666667";"40.53274";"5.9";"0";"52"
"2025-03-05 11:39:49.947";"22.9062883333333";"40.6546166666667";"5.6";"25";"115"
"2025-03-05 11:39:50.003";"22.94393";"40.6403666666667";"7.9";"27";"122"
"2025-03-05 11:39:50.020";"22.9009266666667";"40.680375";"6.9";"40";"87"
"2025-03-05 11:39:50.067";"22.9682533333333";"40.5927316666667";"8.1";"41";"259"
"2025-03-05 11:39:50.073";"22.9536933333333";"40.6214233333333";"6.1";"53";"346"
"2025-03-05 11:39:50.113";"22.8111166666667";"40.6807583333333";"1.8";"14";"19"
"2025-03-05 11:39:50.117";"22.9526016666667";"40.6360516666667";"9.199999999999999";"33";"123"
"2025-03-05 11:39:50.117";"22.96654";"40.6078833333333";"3";"9";"94"
"2025-03-05 11:39:50.130";"22.9267783333333";"40.651245";"6.8";"0";"114"
"2025-03-05 11:39:50.230";"23.0002966666667";"40.7011733333333";"42.9";"26";"176"
"2025-03-05 11:39:50.277";"22.952605";"40.6154233333333";"1.1";"33";"188"
"2025-03-05 11:39:50.340";"22.9236116666667";"40.6401216666667";"5.1";"29";"275"
"2025-03-05 11:39:50.353";"22.93693";"40.6772883333333";"10.5";"0";"6"
"2025-03-05 11:39:50.390";"23.0297066666667";"40.5920533333333";"30";"53";"68"
"2025-03-05 11:39:50.393";"22.9443383333333";"40.63154";"0";"0";"139"
"2025-03-05 11:39:50.407";"22.952235";"40.6294783333333";"5.4";"20";"131"
"2025-03-05 11:39:50.413";"22.966495";"40.62339";"8.6";"59";"333"
"2025-03-05 11:39:50.417";"22.9819066666667";"40.6013033333333";"6";"53";"115"
"2025-03-05 11:39:50.417";"22.9640333333333";"40.60372";"3.6";"49";"175"
"2025-03-05 11:39:50.430";"22.9776516666667";"40.6274333333333";"13.9";"72";"143"
"2025-03-05 11:39:50.440";"22.9455233333333";"40.6311966666667";"5.5";"0";"333"
"2025-03-05 11:39:50.450";"22.9738766666667";"40.5688283333333";"7.1";"43";"156"
"2025-03-05 11:39:50.453";"22.90405";"40.65356";"4.9";"0";"288"
"2025-03-05 11:39:50.463";"22.9499633333333";"40.6329633333333";"2";"31";"119"
"2025-03-05 11:39:50.463";"22.997195";"40.533675";"5.3";"83";"83"
"2025-03-05 11:39:50.470";"22.9760616666667";"40.5243683333333";"6.4";"0";"208"
"2025-03-05 11:39:50.473";"22.9643733333333";"40.64435";"23.9";"21";"181"
"2025-03-05 11:39:50.530";"22.9345266666667";"40.6446716666667";"6.1";"0";"241"
"2025-03-05 11:39:50.557";"22.96324";"40.6123766666667";"7.2";"0";"150"
"2025-03-05 11:39:50.560";"23.0004783333333";"40.5516683333333";"5.7";"70";"327"
"2025-03-05 11:39:50.583";"23.04395";"40.6300316666667";"51.5";"0";"44"
"2025-03-05 11:39:50.713";"22.9624283333333";"40.5861816666667";"9.1";"0";"60"
"2025-03-05 11:39:50.713";"22.9831433333333";"40.6084733333333";"8.5";"29";"224"
"2025-03-05 11:39:50.743";"22.9528216666667";"40.6162183333333";"2";"40";"187"
"2025-03-05 11:39:50.800";"22.9352266666667";"40.64358";"5.9";"42";"360"
"2025-03-05 11:39:50.843";"22.98638";"40.600725";"7.9";"0";"64"
"2025-03-05 11:39:50.860";"22.9479133333333";"40.62917";"5.6";"0";"0"
"2025-03-05 11:39:50.863";"22.977725";"40.526035";"0.9";"0";"264"
"2025-03-05 11:39:50.880";"22.9435066666667";"40.6521816666667";"14";"0";"90"
"2025-03-05 11:39:50.900";"22.9173166666667";"40.673375";"5.7";"0";"297"
"2025-03-05 11:39:50.940";"22.9510016666667";"40.6321883333333";"3.8";"0";"131"
"2025-03-05 11:39:50.943";"22.9385483333333";"40.6341383333333";"8.4";"0";"151"
"2025-03-05 11:39:50.970";"23.0165983333333";"40.55341";"10.4";"36";"314"
"2025-03-05 11:39:50.973";"22.9093566666667";"40.6632816666667";"3.4";"41";"291"
"2025-03-05 11:39:51.047";"22.9480083333333";"40.6413916666667";"10.9";"41";"109"
"2025-03-05 11:39:51.093";"22.9388166666667";"40.6388866666667";"5.7";"1";"201"
"2025-03-05 11:39:51.113";"22.9364766666667";"40.6364033333333";"0.4";"42";"304"
"2025-03-05 11:39:51.157";"22.9562333333333";"40.5944183333333";"7.6";"0";"347"
"2025-03-05 11:39:51.190";"22.96053";"40.6162516666667";"6.2";"0";"47"
"2025-03-05 11:39:51.227";"22.9459383333333";"40.6290216666667";"4.3";"0";"43"
"2025-03-05 11:39:51.260";"22.971285";"40.5881316666667";"9.800000000000001";"44";"186"
"2025-03-05 11:39:51.280";"22.9638433333333";"40.5996616666667";"6";"0";"83"
"2025-03-05 11:39:51.297";"22.9919166666667";"40.6086066666667";"12.9";"37";"124"
"2025-03-05 11:39:51.370";"22.951875";"40.6301483333333";"5.8";"23";"301"
"2025-03-05 11:39:51.373";"22.9462883333333";"40.6613916666667";"11.5";"0";"112"
"2025-03-05 11:39:51.400";"22.8957066666667";"40.6723683333333";"7.7";"23";"354"
"2025-03-05 11:39:51.413";"22.9410066666667";"40.6417583333333";"7.4";"34";"124"
"2025-03-05 11:39:51.463";"22.9697033333333";"40.5929983333333";"8.1";"0";"252"
"2025-03-05 11:39:51.473";"22.8947216666667";"40.66694";"2.4";"25";"175"
"2025-03-05 11:39:51.513";"22.944685";"40.6416283333333";"9.300000000000001";"22";"239"
