"device_id";"NumberOfRecords";"timestamp"
"11";"159";"2025-02-13 12:30:03.207"
"12";"325";"2025-02-13 12:30:03.207"
"13";"218";"2025-02-13 12:30:03.207"
"14";"1945";"2025-02-13 12:30:03.207"
"15";"194";"2025-02-13 12:30:03.207"
"16";"0";"2025-02-13 12:30:03.207"
"17";"0";"2025-02-13 12:30:03.207"
"18";"109";"2025-02-13 12:30:03.207"
"19";"130";"2025-02-13 12:30:03.207"
"20";"213";"2025-02-13 12:30:03.207"
"21";"0";"2025-02-13 12:30:03.207"
"22";"0";"2025-02-13 12:30:03.207"
"23";"244";"2025-02-13 12:30:03.207"
"24";"0";"2025-02-13 12:30:03.207"
"25";"0";"2025-02-13 12:30:03.207"
"26";"0";"2025-02-13 12:30:03.207"
"27";"0";"2025-02-13 12:30:03.207"
"28";"0";"2025-02-13 12:30:03.207"
"29";"0";"2025-02-13 12:30:03.207"
"30";"0";"2025-02-13 12:30:03.207"
"31";"0";"2025-02-13 12:30:03.207"
"32";"0";"2025-02-13 12:30:03.207"
"33";"206";"2025-02-13 12:30:03.207"
"34";"181";"2025-02-13 12:30:03.207"
"35";"0";"2025-02-13 12:30:03.207"
"36";"0";"2025-02-13 12:30:03.207"
"37";"186";"2025-02-13 12:30:03.207"
"38";"0";"2025-02-13 12:30:03.207"
"39";"0";"2025-02-13 12:30:03.207"
"40";"199";"2025-02-13 12:30:03.207"
"41";"0";"2025-02-13 12:30:03.207"
"42";"0";"2025-02-13 12:30:03.207"
"43";"0";"2025-02-13 12:30:03.207"
"44";"223";"2025-02-13 12:30:03.207"
"45";"183";"2025-02-13 12:30:03.207"
"46";"0";"2025-02-13 12:30:03.207"
"47";"227";"2025-02-13 12:30:03.207"
"48";"0";"2025-02-13 12:30:03.207"
"49";"0";"2025-02-13 12:30:03.207"
"50";"261";"2025-02-13 12:30:03.207"
"51";"181";"2025-02-13 12:30:03.207"
"52";"0";"2025-02-13 12:30:03.207"
"53";"0";"2025-02-13 12:30:03.207"
"54";"0";"2025-02-13 12:30:03.207"
"55";"52";"2025-02-13 12:30:03.207"
"56";"0";"2025-02-13 12:30:03.207"
"57";"0";"2025-02-13 12:30:03.207"
"58";"0";"2025-02-13 12:30:03.207"
"59";"0";"2025-02-13 12:30:03.207"
"60";"0";"2025-02-13 12:30:03.207"
"61";"0";"2025-02-13 12:30:03.207"
"62";"0";"2025-02-13 12:30:03.207"
"63";"0";"2025-02-13 12:30:03.207"
"64";"0";"2025-02-13 12:30:03.207"
"65";"0";"2025-02-13 12:30:03.207"
"66";"0";"2025-02-13 12:30:03.207"
"67";"0";"2025-02-13 12:30:03.207"
"68";"0";"2025-02-13 12:30:03.207"
"69";"0";"2025-02-13 12:30:03.207"
"70";"0";"2025-02-13 12:30:03.207"
"71";"0";"2025-02-13 12:30:03.207"
"72";"246";"2025-02-13 12:30:03.207"
"73";"0";"2025-02-13 12:30:03.207"
"74";"285";"2025-02-13 12:30:03.207"
"75";"0";"2025-02-13 12:30:03.207"
"76";"0";"2025-02-13 12:30:03.207"
"77";"0";"2025-02-13 12:30:03.207"
"78";"0";"2025-02-13 12:30:03.207"
"79";"0";"2025-02-13 12:30:03.207"
"80";"0";"2025-02-13 12:30:03.207"
"93";"0";"2025-02-13 12:30:03.207"
