"Link_id";"Link_Direction";"Timestamp";"Speed";"UniqueEntries"
"14250729";"1";"2025-02-10 08:00:00.000";"63";"1"
"14250889";"1";"2025-02-10 11:15:00.000";"21";"1"
"14251287";"1";"2025-02-10 12:30:00.000";"86";"3"
"14251378";"1";"2025-02-10 12:30:00.000";"37";"7"
"14251486";"1";"2025-02-09 22:00:00.000";"18";"1"
"14251667";"1";"2025-02-10 12:30:00.000";"37";"1"
"14251756";"1";"2025-02-10 12:00:00.000";"47";"1"
"14251908";"1";"2025-02-10 10:45:00.000";"62";"1"
"14251968";"1";"2025-02-10 12:30:00.000";"56";"2"
"14252079";"1";"2025-02-10 11:00:00.000";"29";"1"
"14252175";"1";"2025-02-10 12:30:00.000";"20";"1"
"14290764";"1";"2025-02-10 12:30:00.000";"45";"1"
"14290764";"2";"2025-02-10 12:00:00.000";"40";"1"
"14290926";"1";"2025-02-10 12:30:00.000";"19";"6"
"14290961";"1";"2025-02-10 12:30:00.000";"9";"1"
"14291050";"1";"2025-02-10 12:30:00.000";"38";"2"
"14291173";"1";"2025-02-10 12:00:00.000";"20";"1"
"14291356";"1";"2025-02-10 12:30:00.000";"23";"6"
"14292307";"1";"2025-02-10 12:30:00.000";"19";"1"
"14292503";"1";"2025-02-10 11:45:00.000";"28";"1"
"14292503";"2";"2025-02-10 12:00:00.000";"29";"1"
"14293073";"1";"2025-02-10 12:15:00.000";"24";"1"
"14293311";"1";"2025-02-10 12:30:00.000";"27";"1"
"14293311";"2";"2025-02-10 11:30:00.000";"30";"1"
"14293732";"1";"2025-02-10 11:30:00.000";"16";"1"
"14293732";"2";"2025-02-10 11:00:00.000";"29";"1"
"14293829";"1";"2025-02-10 12:30:00.000";"21";"2"
"14294151";"1";"2025-02-10 12:30:00.000";"33";"1"
"14294384";"1";"2025-02-10 09:45:00.000";"18";"1"
"14295633";"1";"2025-02-10 12:30:00.000";"28";"5"
"14296060";"1";"2025-02-10 12:00:00.000";"19";"1"
"14296129";"1";"2025-02-10 12:30:00.000";"36";"1"
"14296206";"1";"2025-02-10 12:30:00.000";"19";"1"
"14296674";"1";"2025-02-10 12:30:00.000";"14";"5"
"14298307";"1";"2025-02-10 12:30:00.000";"90";"1"
"14298350";"1";"2025-02-10 12:30:00.000";"69";"2"
"14298631";"1";"2025-02-10 12:15:00.000";"41";"1"
"14298631";"2";"2025-02-10 12:15:00.000";"30";"1"
"14299546";"1";"2025-02-10 12:15:00.000";"28";"1"
"14299650";"1";"2025-02-10 12:30:00.000";"62";"1"
"14299694";"1";"2025-02-10 12:30:00.000";"44";"1"
"14299750";"1";"2025-02-10 12:15:00.000";"65";"1"
"14300100";"1";"2025-02-10 12:30:00.000";"34";"2"
"14300353";"1";"2025-02-10 04:45:00.000";"25";"1"
"14300453";"1";"2025-02-10 12:30:00.000";"45";"1"
"14300516";"1";"2025-02-10 12:30:00.000";"15";"5"
"14300592";"1";"2025-02-10 12:30:00.000";"21";"3"
"14300991";"1";"2025-02-10 10:45:00.000";"22";"1"
