"device_id";"NumberOfRecords";"timestamp"
"11";"181";"2025-03-06 11:00:02.780"
"12";"400";"2025-03-06 11:00:02.780"
"13";"267";"2025-03-06 11:00:02.780"
"14";"1784";"2025-03-06 10:45:02.737"
"15";"219";"2025-03-06 10:45:02.737"
"16";"0";"2025-03-06 10:45:02.737"
"17";"0";"2025-03-06 10:45:02.737"
"18";"123";"2025-03-06 10:45:02.737"
"19";"153";"2025-03-06 10:45:02.737"
"20";"213";"2025-03-06 10:45:02.737"
"21";"0";"2025-03-06 10:45:02.737"
"22";"0";"2025-03-06 10:45:02.737"
"23";"263";"2025-03-06 10:45:02.737"
"24";"0";"2025-03-06 10:45:02.737"
"25";"0";"2025-03-06 10:45:02.737"
"26";"0";"2025-03-06 10:45:02.737"
"27";"0";"2025-03-06 10:45:02.737"
"28";"0";"2025-03-06 10:45:02.737"
"29";"0";"2025-03-06 10:45:02.737"
"30";"0";"2025-03-06 10:45:02.737"
"31";"0";"2025-03-06 10:45:02.737"
"32";"0";"2025-03-06 10:45:02.737"
"33";"215";"2025-03-06 10:45:02.737"
"34";"231";"2025-03-06 10:45:02.737"
"35";"0";"2025-03-06 10:45:02.737"
"36";"0";"2025-03-06 10:45:02.737"
"37";"176";"2025-03-06 10:45:02.737"
"38";"0";"2025-03-06 10:45:02.737"
"39";"0";"2025-03-06 10:45:02.737"
"40";"252";"2025-03-06 10:45:02.737"
"41";"0";"2025-03-06 10:45:02.737"
"42";"0";"2025-03-06 10:45:02.737"
"43";"0";"2025-03-06 10:45:02.737"
"44";"257";"2025-03-06 10:45:02.737"
"45";"231";"2025-03-06 10:45:02.737"
"46";"0";"2025-03-06 10:45:02.737"
"47";"247";"2025-03-06 10:45:02.737"
"48";"0";"2025-03-06 10:45:02.737"
"49";"0";"2025-03-06 10:45:02.737"
"50";"246";"2025-03-06 10:45:02.737"
"51";"191";"2025-03-06 10:45:02.737"
"52";"0";"2025-03-06 10:45:02.737"
"53";"0";"2025-03-06 10:45:02.737"
"54";"217";"2025-03-06 10:45:02.737"
"55";"54";"2025-03-06 10:45:02.737"
"56";"0";"2025-03-06 10:45:02.737"
"57";"0";"2025-03-06 10:45:02.737"
"58";"0";"2025-03-06 10:45:02.737"
"59";"0";"2025-03-06 10:45:02.737"
"60";"0";"2025-03-06 10:45:02.737"
"61";"0";"2025-03-06 10:45:02.737"
"62";"0";"2025-03-06 10:45:02.737"
"63";"0";"2025-03-06 10:45:02.737"
"64";"0";"2025-03-06 10:45:02.737"
"65";"0";"2025-03-06 10:45:02.737"
"66";"0";"2025-03-06 10:45:02.737"
"67";"0";"2025-03-06 10:45:02.737"
"68";"0";"2025-03-06 10:45:02.737"
"69";"0";"2025-03-06 10:45:02.737"
"70";"0";"2025-03-06 10:45:02.737"
"71";"0";"2025-03-06 10:45:02.737"
"72";"208";"2025-03-06 10:45:02.737"
"73";"0";"2025-03-06 10:45:02.737"
"74";"294";"2025-03-06 10:45:02.737"
"75";"0";"2025-03-06 10:45:02.737"
"76";"0";"2025-03-06 10:45:02.737"
"77";"0";"2025-03-06 10:45:02.737"
"78";"0";"2025-03-06 10:45:02.737"
"79";"0";"2025-03-06 10:45:02.737"
"80";"0";"2025-03-06 10:45:02.737"
"93";"0";"2025-03-06 10:45:02.737"
