"device_id";"NumberOfRecords";"timestamp"
"11";"183";"2025-02-14 13:00:03.083"
"12";"320";"2025-02-14 13:00:03.083"
"13";"228";"2025-02-14 13:00:03.083"
"14";"2367";"2025-02-14 13:00:03.083"
"15";"180";"2025-02-14 13:00:03.083"
"16";"0";"2025-02-14 13:00:03.083"
"17";"0";"2025-02-14 13:00:03.083"
"18";"137";"2025-02-14 13:00:03.083"
"19";"156";"2025-02-14 13:00:03.083"
"20";"247";"2025-02-14 13:00:03.083"
"21";"0";"2025-02-14 13:00:03.083"
"22";"0";"2025-02-14 13:00:03.083"
"23";"301";"2025-02-14 13:00:03.083"
"24";"0";"2025-02-14 13:00:03.083"
"25";"0";"2025-02-14 13:00:03.083"
"26";"0";"2025-02-14 13:00:03.083"
"27";"0";"2025-02-14 13:00:03.083"
"28";"0";"2025-02-14 13:00:03.083"
"29";"0";"2025-02-14 13:00:03.083"
"30";"0";"2025-02-14 13:00:03.083"
"31";"0";"2025-02-14 13:00:03.083"
"32";"0";"2025-02-14 13:00:03.083"
"33";"202";"2025-02-14 13:00:03.083"
"34";"216";"2025-02-14 13:00:03.083"
"35";"0";"2025-02-14 13:00:03.083"
"36";"0";"2025-02-14 13:00:03.083"
"37";"228";"2025-02-14 13:00:03.083"
"38";"0";"2025-02-14 13:00:03.083"
"39";"0";"2025-02-14 13:00:03.083"
"40";"284";"2025-02-14 13:00:03.083"
"41";"0";"2025-02-14 13:00:03.083"
"42";"0";"2025-02-14 13:00:03.083"
"43";"0";"2025-02-14 13:00:03.083"
"44";"275";"2025-02-14 13:00:03.083"
"45";"215";"2025-02-14 13:00:03.083"
"46";"0";"2025-02-14 13:00:03.083"
"47";"239";"2025-02-14 13:00:03.083"
"48";"0";"2025-02-14 13:00:03.083"
"49";"0";"2025-02-14 13:00:03.083"
"50";"255";"2025-02-14 13:00:03.083"
"51";"206";"2025-02-14 13:00:03.083"
"52";"0";"2025-02-14 13:00:03.083"
"53";"0";"2025-02-14 13:00:03.083"
"54";"0";"2025-02-14 13:00:03.083"
"55";"45";"2025-02-14 13:00:03.083"
"56";"0";"2025-02-14 13:00:03.083"
"57";"0";"2025-02-14 13:00:03.083"
"58";"0";"2025-02-14 13:00:03.083"
"59";"0";"2025-02-14 13:00:03.083"
"60";"0";"2025-02-14 13:00:03.083"
"61";"0";"2025-02-14 13:00:03.083"
"62";"0";"2025-02-14 13:00:03.083"
"63";"0";"2025-02-14 13:00:03.083"
"64";"0";"2025-02-14 13:00:03.083"
"65";"0";"2025-02-14 13:00:03.083"
"66";"0";"2025-02-14 13:00:03.083"
"67";"0";"2025-02-14 13:00:03.083"
"68";"0";"2025-02-14 13:00:03.083"
"69";"0";"2025-02-14 13:00:03.083"
"70";"0";"2025-02-14 13:00:03.083"
"71";"0";"2025-02-14 13:00:03.083"
"72";"266";"2025-02-14 13:00:03.083"
"73";"0";"2025-02-14 13:00:03.083"
"74";"346";"2025-02-14 13:00:03.083"
"75";"0";"2025-02-14 13:00:03.083"
"76";"0";"2025-02-14 13:00:03.083"
"77";"0";"2025-02-14 13:00:03.083"
"78";"0";"2025-02-14 13:00:03.083"
"79";"0";"2025-02-14 13:00:03.083"
"80";"0";"2025-02-14 13:00:03.083"
"93";"0";"2025-02-14 13:00:03.083"
