"device_id";"NumberOfRecords";"timestamp"
"11";"141";"2025-03-05 11:30:02.763"
"12";"307";"2025-03-05 11:30:02.763"
"13";"221";"2025-03-05 11:30:02.763"
"14";"1878";"2025-03-05 11:30:02.763"
"15";"188";"2025-03-05 11:30:02.763"
"16";"0";"2025-03-05 11:30:02.763"
"17";"0";"2025-03-05 11:30:02.763"
"18";"108";"2025-03-05 11:30:02.763"
"19";"135";"2025-03-05 11:30:02.763"
"20";"262";"2025-03-05 11:30:02.763"
"21";"0";"2025-03-05 11:30:02.763"
"22";"0";"2025-03-05 11:30:02.763"
"23";"298";"2025-03-05 11:30:02.763"
"24";"0";"2025-03-05 11:30:02.763"
"25";"0";"2025-03-05 11:30:02.763"
"26";"0";"2025-03-05 11:30:02.763"
"27";"0";"2025-03-05 11:30:02.763"
"28";"0";"2025-03-05 11:30:02.763"
"29";"0";"2025-03-05 11:30:02.763"
"30";"0";"2025-03-05 11:30:02.763"
"31";"0";"2025-03-05 11:30:02.763"
"32";"0";"2025-03-05 11:30:02.763"
"33";"178";"2025-03-05 11:30:02.763"
"34";"223";"2025-03-05 11:30:02.763"
"35";"0";"2025-03-05 11:30:02.763"
"36";"0";"2025-03-05 11:30:02.763"
"37";"204";"2025-03-05 11:30:02.763"
"38";"0";"2025-03-05 11:30:02.763"
"39";"0";"2025-03-05 11:30:02.763"
"40";"277";"2025-03-05 11:30:02.763"
"41";"0";"2025-03-05 11:30:02.763"
"42";"13";"2025-03-05 11:30:02.763"
"43";"0";"2025-03-05 11:30:02.763"
"44";"195";"2025-03-05 11:30:02.763"
"45";"192";"2025-03-05 11:30:02.763"
"46";"0";"2025-03-05 11:30:02.763"
"47";"267";"2025-03-05 11:30:02.763"
"48";"0";"2025-03-05 11:30:02.763"
"49";"0";"2025-03-05 11:30:02.763"
"50";"289";"2025-03-05 11:30:02.763"
"51";"171";"2025-03-05 11:30:02.763"
"52";"0";"2025-03-05 11:30:02.763"
"53";"0";"2025-03-05 11:30:02.763"
"54";"0";"2025-03-05 11:30:02.763"
"55";"60";"2025-03-05 11:30:02.763"
"56";"0";"2025-03-05 11:30:02.763"
"57";"0";"2025-03-05 11:30:02.763"
"58";"0";"2025-03-05 11:30:02.763"
"59";"0";"2025-03-05 11:30:02.763"
"60";"0";"2025-03-05 11:30:02.763"
"61";"0";"2025-03-05 11:30:02.763"
"62";"0";"2025-03-05 11:30:02.763"
"63";"0";"2025-03-05 11:30:02.763"
"64";"0";"2025-03-05 11:30:02.763"
"65";"0";"2025-03-05 11:30:02.763"
"66";"0";"2025-03-05 11:30:02.763"
"67";"0";"2025-03-05 11:30:02.763"
"68";"0";"2025-03-05 11:30:02.763"
"69";"0";"2025-03-05 11:30:02.763"
"70";"0";"2025-03-05 11:30:02.763"
"71";"0";"2025-03-05 11:30:02.763"
"72";"203";"2025-03-05 11:30:02.763"
"73";"0";"2025-03-05 11:30:02.763"
"74";"267";"2025-03-05 11:30:02.763"
"75";"0";"2025-03-05 11:30:02.763"
"76";"0";"2025-03-05 11:30:02.763"
"77";"0";"2025-03-05 11:30:02.763"
"78";"0";"2025-03-05 11:30:02.763"
"79";"0";"2025-03-05 11:30:02.763"
"80";"0";"2025-03-05 11:30:02.763"
"93";"82";"2025-03-05 11:30:02.763"
