"device_id";"NumberOfRecords";"timestamp"
"11";"168";"2025-02-20 10:45:02.783"
"12";"303";"2025-02-20 10:45:02.783"
"13";"212";"2025-02-20 10:45:02.783"
"14";"50";"2025-02-20 10:45:02.783"
"15";"215";"2025-02-20 10:45:02.783"
"16";"0";"2025-02-20 10:45:02.783"
"17";"0";"2025-02-20 10:45:02.783"
"18";"100";"2025-02-20 10:45:02.783"
"19";"138";"2025-02-20 10:45:02.783"
"20";"229";"2025-02-20 10:45:02.783"
"21";"0";"2025-02-20 10:45:02.783"
"22";"0";"2025-02-20 10:45:02.783"
"23";"235";"2025-02-20 10:45:02.783"
"24";"0";"2025-02-20 10:45:02.783"
"25";"0";"2025-02-20 10:45:02.783"
"26";"0";"2025-02-20 10:45:02.783"
"27";"0";"2025-02-20 10:45:02.783"
"28";"0";"2025-02-20 10:45:02.783"
"29";"0";"2025-02-20 10:45:02.783"
"30";"0";"2025-02-20 10:45:02.783"
"31";"0";"2025-02-20 10:45:02.783"
"32";"0";"2025-02-20 10:45:02.783"
"33";"186";"2025-02-20 10:45:02.783"
"34";"189";"2025-02-20 10:45:02.783"
"35";"0";"2025-02-20 10:45:02.783"
"36";"0";"2025-02-20 10:45:02.783"
"37";"177";"2025-02-20 10:45:02.783"
"38";"0";"2025-02-20 10:45:02.783"
"39";"0";"2025-02-20 10:45:02.783"
"40";"245";"2025-02-20 10:45:02.783"
"41";"0";"2025-02-20 10:45:02.783"
"42";"0";"2025-02-20 10:45:02.783"
"43";"0";"2025-02-20 10:45:02.783"
"44";"174";"2025-02-20 10:45:02.783"
"45";"213";"2025-02-20 10:45:02.783"
"46";"0";"2025-02-20 10:45:02.783"
"47";"247";"2025-02-20 10:45:02.783"
"48";"0";"2025-02-20 10:45:02.783"
"49";"0";"2025-02-20 10:45:02.783"
"50";"281";"2025-02-20 10:45:02.783"
"51";"190";"2025-02-20 10:45:02.783"
"52";"0";"2025-02-20 10:45:02.783"
"53";"237";"2025-02-20 10:45:02.783"
"54";"92";"2025-02-20 10:45:02.783"
"55";"57";"2025-02-20 10:45:02.783"
"56";"0";"2025-02-20 10:45:02.783"
"57";"0";"2025-02-20 10:45:02.783"
"58";"0";"2025-02-20 10:45:02.783"
"59";"0";"2025-02-20 10:45:02.783"
"60";"0";"2025-02-20 10:45:02.783"
"61";"0";"2025-02-20 10:45:02.783"
"62";"0";"2025-02-20 10:45:02.783"
"63";"0";"2025-02-20 10:45:02.783"
"64";"0";"2025-02-20 10:45:02.783"
"65";"0";"2025-02-20 10:45:02.783"
"66";"0";"2025-02-20 10:45:02.783"
"67";"0";"2025-02-20 10:45:02.783"
"68";"0";"2025-02-20 10:45:02.783"
"69";"0";"2025-02-20 10:45:02.783"
"70";"0";"2025-02-20 10:45:02.783"
"71";"0";"2025-02-20 10:45:02.783"
"72";"248";"2025-02-20 10:45:02.783"
"73";"0";"2025-02-20 10:45:02.783"
"74";"293";"2025-02-20 10:45:02.783"
"75";"0";"2025-02-20 10:45:02.783"
"76";"0";"2025-02-20 10:45:02.783"
"77";"0";"2025-02-20 10:45:02.783"
"78";"0";"2025-02-20 10:45:02.783"
"79";"0";"2025-02-20 10:45:02.783"
"80";"0";"2025-02-20 10:45:02.783"
"93";"0";"2025-02-20 10:45:02.783"
