"device_id";"NumberOfRecords";"timestamp"
"11";"215";"2025-02-10 12:45:03.053"
"12";"353";"2025-02-10 12:45:03.053"
"13";"188";"2025-02-10 12:45:03.053"
"14";"2070";"2025-02-10 12:45:03.053"
"15";"219";"2025-02-10 12:45:03.053"
"16";"0";"2025-02-10 12:45:03.053"
"17";"0";"2025-02-10 12:45:03.053"
"18";"118";"2025-02-10 12:45:03.053"
"19";"154";"2025-02-10 12:45:03.053"
"20";"285";"2025-02-10 12:45:03.053"
"21";"0";"2025-02-10 12:45:03.053"
"22";"0";"2025-02-10 12:45:03.053"
"23";"285";"2025-02-10 12:45:03.053"
"24";"0";"2025-02-10 12:45:03.053"
"25";"0";"2025-02-10 12:45:03.053"
"26";"0";"2025-02-10 12:45:03.053"
"27";"0";"2025-02-10 12:45:03.053"
"28";"0";"2025-02-10 12:45:03.053"
"29";"0";"2025-02-10 12:45:03.053"
"30";"0";"2025-02-10 12:45:03.053"
"31";"0";"2025-02-10 12:45:03.053"
"32";"0";"2025-02-10 12:45:03.053"
"33";"186";"2025-02-10 12:45:03.053"
"34";"189";"2025-02-10 12:45:03.053"
"35";"0";"2025-02-10 12:45:03.053"
"36";"0";"2025-02-10 12:45:03.053"
"37";"211";"2025-02-10 12:45:03.053"
"38";"0";"2025-02-10 12:45:03.053"
"39";"0";"2025-02-10 12:45:03.053"
"40";"271";"2025-02-10 12:45:03.053"
"41";"0";"2025-02-10 12:45:03.053"
"42";"0";"2025-02-10 12:45:03.053"
"43";"0";"2025-02-10 12:45:03.053"
"44";"231";"2025-02-10 12:45:03.053"
"45";"166";"2025-02-10 12:45:03.053"
"46";"0";"2025-02-10 12:45:03.053"
"47";"239";"2025-02-10 12:45:03.053"
"48";"0";"2025-02-10 12:45:03.053"
"49";"0";"2025-02-10 12:45:03.053"
"50";"256";"2025-02-10 12:45:03.053"
"51";"187";"2025-02-10 12:45:03.053"
"52";"0";"2025-02-10 12:45:03.053"
"53";"0";"2025-02-10 12:45:03.053"
"54";"0";"2025-02-10 12:45:03.053"
"55";"47";"2025-02-10 12:45:03.053"
"56";"0";"2025-02-10 12:45:03.053"
"57";"0";"2025-02-10 12:45:03.053"
"58";"0";"2025-02-10 12:45:03.053"
"59";"0";"2025-02-10 12:45:03.053"
"60";"0";"2025-02-10 12:45:03.053"
"61";"0";"2025-02-10 12:45:03.053"
"62";"0";"2025-02-10 12:45:03.053"
"63";"0";"2025-02-10 12:45:03.053"
"64";"0";"2025-02-10 12:45:03.053"
"65";"0";"2025-02-10 12:45:03.053"
"66";"0";"2025-02-10 12:45:03.053"
"67";"0";"2025-02-10 12:45:03.053"
"68";"0";"2025-02-10 12:45:03.053"
"69";"0";"2025-02-10 12:45:03.053"
"70";"0";"2025-02-10 12:45:03.053"
"71";"0";"2025-02-10 12:45:03.053"
"72";"260";"2025-02-10 12:45:03.053"
"73";"0";"2025-02-10 12:45:03.053"
"74";"287";"2025-02-10 12:45:03.053"
"75";"0";"2025-02-10 12:45:03.053"
"76";"0";"2025-02-10 12:45:03.053"
"77";"0";"2025-02-10 12:45:03.053"
"78";"0";"2025-02-10 12:45:03.053"
"79";"0";"2025-02-10 12:45:03.053"
"80";"0";"2025-02-10 12:45:03.053"
"93";"0";"2025-02-10 12:45:03.053"
