"Link_id";"Link_Direction";"Timestamp";"Speed";"UniqueEntries"
"4688531";"1";"2025-03-05 15:15:00.000";"22";"1"
"4688535";"2";"2025-03-05 13:15:00.000";"18";"1"
"4688539";"2";"2025-03-05 12:30:00.000";"15";"1"
"4688541";"2";"2025-03-06 10:30:00.000";"20";"1"
"4688542";"1";"2025-03-05 23:45:00.000";"34";"1"
"4688542";"2";"2025-03-05 15:30:00.000";"29";"1"
"4688547";"1";"2025-03-05 16:15:00.000";"24";"1"
"4688547";"2";"2025-03-05 20:00:00.000";"19";"1"
"4688548";"1";"2025-03-06 10:45:00.000";"14";"3"
"4688549";"1";"2025-03-06 10:45:00.000";"22";"9"
"4688550";"1";"2025-03-06 10:45:00.000";"19";"2"
"4825719";"1";"2025-03-06 10:45:00.000";"34";"4"
"4825719";"2";"2025-03-06 10:45:00.000";"25";"6"
"4959032";"1";"2025-03-06 10:30:00.000";"47";"1"
"4959083";"1";"2025-03-06 09:30:00.000";"29";"1"
"4959083";"2";"2025-03-06 10:30:00.000";"28";"1"
"7853485";"2";"2025-03-06 10:45:00.000";"25";"1"
"7853493";"1";"2025-03-06 10:45:00.000";"30";"4"
"9774971";"1";"2025-03-06 10:45:00.000";"96";"1"
"13769164";"1";"2025-03-06 10:45:00.000";"33";"4"
"13769290";"1";"2025-03-06 10:45:00.000";"12";"1"
"13769313";"2";"2025-03-06 10:45:00.000";"18";"1"
"13866832";"1";"2025-03-06 10:15:00.000";"22";"1"
"13866835";"1";"2025-03-06 09:45:00.000";"26";"1"
"13866973";"1";"2025-03-06 06:45:00.000";"91";"1"
"13868791";"1";"2025-03-06 10:45:00.000";"26";"13"
"13868862";"2";"2025-03-06 08:45:00.000";"12";"1"
"13873225";"1";"2025-03-05 11:30:00.000";"82";"1"
"13987098";"1";"2025-03-06 10:45:00.000";"72";"2"
"14087678";"1";"2025-03-06 10:45:00.000";"17";"1"
"14088029";"1";"2025-03-06 09:15:00.000";"24";"1"
"14088029";"2";"2025-03-06 10:45:00.000";"26";"1"
"14088080";"1";"2025-03-06 10:45:00.000";"10";"1"
"14088246";"1";"2025-03-06 10:45:00.000";"22";"4"
"14088380";"1";"2025-03-06 10:45:00.000";"16";"2"
"14088780";"1";"2025-03-06 10:45:00.000";"37";"5"
"14089056";"1";"2025-03-06 10:45:00.000";"30";"1"
"14089056";"2";"2025-03-06 10:45:00.000";"30";"3"
"14121198";"2";"2025-03-05 11:30:00.000";"66";"1"
"14123851";"1";"2025-03-05 11:45:00.000";"108";"1"
"14123888";"1";"2025-03-06 09:30:00.000";"94";"1"
"14124057";"1";"2025-03-06 09:30:00.000";"80";"1"
"14125050";"1";"2025-03-06 08:30:00.000";"94";"1"
"14125325";"1";"2025-03-06 10:45:00.000";"33";"1"
"14125455";"1";"2025-03-06 09:45:00.000";"34";"1"
"14125455";"2";"2025-03-06 09:30:00.000";"36";"1"
"14125517";"1";"2025-03-06 10:45:00.000";"26";"1"
"14125517";"2";"2025-03-06 10:45:00.000";"31";"1"
"14125757";"1";"2025-03-06 10:30:00.000";"22";"1"
"14126204";"1";"2025-03-06 10:45:00.000";"24";"1"
"14126204";"2";"2025-03-06 09:45:00.000";"25";"1"
"14126223";"1";"2025-03-06 02:30:00.000";"20";"1"
"14126239";"1";"2025-03-06 10:45:00.000";"25";"1"
"14126392";"1";"2025-03-06 10:45:00.000";"18";"10"
"14126665";"1";"2025-03-06 10:45:00.000";"23";"4"
"14128773";"1";"2025-03-06 09:00:00.000";"22";"1"
"14129474";"1";"2025-03-06 10:45:00.000";"114";"1"
"14133333";"1";"2025-03-06 10:30:00.000";"85";"1"
"14136382";"1";"2025-03-05 11:15:00.000";"49";"1"
"14136382";"2";"2025-03-06 09:45:00.000";"31";"1"
"14146512";"1";"2025-03-05 20:45:00.000";"53";"1"
"14149597";"1";"2025-03-05 10:45:00.000";"18";"1"
"14149656";"1";"2025-03-05 19:45:00.000";"76";"1"
"14149803";"1";"2025-03-05 20:45:00.000";"60";"1"
"14149892";"1";"2025-03-05 20:45:00.000";"56";"1"
"14156116";"1";"2025-03-06 10:45:00.000";"16";"1"
"14156160";"1";"2025-03-06 07:15:00.000";"15";"1"
"14156290";"1";"2025-03-06 01:45:00.000";"18";"1"
"14156290";"2";"2025-03-06 07:45:00.000";"26";"1"
"14156451";"1";"2025-03-05 20:15:00.000";"17";"1"
"14156451";"2";"2025-03-06 10:45:00.000";"25";"1"
"14156516";"2";"2025-03-06 10:30:00.000";"24";"2"
"14156541";"1";"2025-03-06 10:45:00.000";"21";"2"
"14156574";"1";"2025-03-06 10:45:00.000";"17";"1"
"14156737";"1";"2025-03-06 09:00:00.000";"15";"1"
"14157039";"2";"2025-03-06 08:45:00.000";"23";"1"
"14157112";"1";"2025-03-06 10:30:00.000";"20";"1"
