"Link_id";"Link_Direction";"Timestamp";"Speed";"UniqueEntries"
"4688533";"2";"2025-02-16 21:45:00.000";"21";"1"
"4688541";"2";"2025-02-16 22:15:00.000";"20";"1"
"4688542";"1";"2025-02-17 08:45:00.000";"27";"1"
"4688542";"2";"2025-02-16 20:30:00.000";"30";"1"
"4688548";"1";"2025-02-17 10:45:00.000";"1";"1"
"4688549";"1";"2025-02-17 10:45:00.000";"22";"7"
"4688550";"1";"2025-02-17 10:45:00.000";"13";"3"
"4825719";"1";"2025-02-17 10:45:00.000";"29";"5"
"4825719";"2";"2025-02-17 10:45:00.000";"33";"1"
"4959032";"1";"2025-02-17 10:30:00.000";"40";"1"
"4959083";"1";"2025-02-17 10:45:00.000";"18";"2"
"4959083";"2";"2025-02-17 10:15:00.000";"28";"1"
"7853485";"2";"2025-02-17 00:15:00.000";"15";"1"
"7853493";"1";"2025-02-17 10:45:00.000";"21";"2"
"9774971";"1";"2025-02-17 08:30:00.000";"77";"1"
"11110026";"1";"2025-02-17 03:45:00.000";"23";"1"
"13769164";"1";"2025-02-17 10:45:00.000";"27";"6"
"13769290";"1";"2025-02-17 10:45:00.000";"17";"2"
"13769313";"1";"2025-02-17 10:30:00.000";"16";"1"
"13769313";"2";"2025-02-17 10:30:00.000";"22";"1"
"13866832";"1";"2025-02-17 08:45:00.000";"21";"1"
"13866835";"1";"2025-02-17 10:45:00.000";"27";"1"
"13866973";"1";"2025-02-17 10:45:00.000";"75";"1"
"13868791";"1";"2025-02-17 10:45:00.000";"31";"10"
"13868862";"2";"2025-02-17 06:45:00.000";"3";"1"
"13987098";"1";"2025-02-17 10:45:00.000";"80";"6"
"14087678";"1";"2025-02-17 09:30:00.000";"17";"1"
"14088029";"1";"2025-02-17 10:45:00.000";"21";"1"
"14088029";"2";"2025-02-17 10:00:00.000";"27";"1"
"14088080";"1";"2025-02-17 10:45:00.000";"21";"2"
"14088246";"1";"2025-02-17 10:45:00.000";"30";"2"
"14088380";"1";"2025-02-17 10:45:00.000";"30";"3"
"14088780";"1";"2025-02-17 10:45:00.000";"35";"5"
"14089056";"1";"2025-02-17 10:45:00.000";"25";"1"
"14089056";"2";"2025-02-17 10:45:00.000";"23";"4"
"14121198";"2";"2025-02-17 08:45:00.000";"54";"1"
"14123851";"1";"2025-02-17 08:00:00.000";"85";"1"
"14123888";"1";"2025-02-17 10:45:00.000";"81";"2"
"14124057";"1";"2025-02-17 10:45:00.000";"65";"2"
"14125050";"1";"2025-02-17 10:30:00.000";"88";"1"
"14125325";"1";"2025-02-17 10:30:00.000";"28";"1"
"14125455";"1";"2025-02-16 19:30:00.000";"25";"1"
"14125455";"2";"2025-02-17 01:45:00.000";"37";"1"
"14125517";"1";"2025-02-17 10:45:00.000";"26";"1"
